0,1,2,3,4,5,6,7,8,9,10,11,12,13
-1931.822348811819,-2222.9460981092784,-6448.941828704283,0.5,0.5,0.5,0.5,-6.206401507876825,-3.0292092487644657,2.898466811927217,0.03,0.03,0.03,283.0
-1932.4429782013408,-2223.2490066519404,-6448.651946008667,0.4977483245277187,0.5007493158624571,0.5007484119722166,0.5007471976960363,-6.206186271026494,-3.0289615988364034,2.899187095009041,0.030044151652960385,0.0299594202914822,0.029995649079031402,283.0000812782994
-1933.0635860637176,-2223.5518904279184,-6448.361991286352,0.49549331034536626,0.5014972573576453,0.5014936471643059,0.5014887856369203,-6.205970964974508,-3.0287139150906524,2.8999073459274167,0.030088243266551722,0.02991878980103514,0.029991286458667443,283.00016255346185
-1933.684172392029,-2223.8547494338313,-6448.071964540554,0.49323497582356707,0.5022438153503751,0.5022357045072353,0.5022247561448407,-6.205755589723199,-3.028466197529924,2.9006275646743584,0.030132274764468912,0.02987810863636868,0.029986912167844784,283.0002438254876
-1934.3047371793555,-2224.1575836662973,-6447.78186577449,0.4909733393579861,0.502988980709651,0.5029745829557085,0.5029551015994023,-6.205540145274901,-3.02821844615693,2.9013477512418815,0.030176246070678824,0.029837376905278733,0.029982526235572255,283.00032509437665
-1934.9252804187774,-2224.460393121936,-6447.491694991379,0.4887084193691538,0.5037327443087748,0.5037102814881483,0.5036798144376885,-6.205324631631948,-3.0279706609743826,2.9020679056220007,0.030220157109420418,0.02979659471564638,0.029978128690930552,283.0004063601292
-1935.5458021033755,-2224.7631777973656,-6447.201452194439,0.48644023430228994,0.5044750970254471,0.504442799106678,0.5043988871543225,-6.2051090487966745,-3.0277228419849944,2.9027880278067313,0.030264007805204867,0.029755762175437017,0.02997371956307194,283.0004876227453
-1936.1663022262305,-2225.0659376892063,-6446.911137386891,0.484168802627128,0.5052160297418714,0.505172134837104,0.505112312301528,-6.204893396771417,-3.0274749891914783,2.9035081177880895,0.030307798082815682,0.029714879392699477,0.029969298881219936,283.00056888222514
-1936.7867807804237,-2225.368672794077,-6446.620750571955,0.4818941428377399,0.5059555333448564,0.505898287728898,0.5058200824891899,-6.204677675558512,-3.0272271025965476,2.904228175558091,0.030351527867308808,0.02967394647556517,0.029964866674669015,283.0006501385688
-1937.4072377590362,-2225.6713831085985,-6446.330291752853,0.47961627345235897,0.5066935987259183,0.5066212568551779,0.5065221903849129,-6.2044618851602955,-3.0269791822029157,2.904948201108753,0.03039519708401275,0.029632963532247217,0.02996042297278431,283.0007313917764
-1938.0276731551496,-2225.974068629391,-6446.039760932807,0.47733521301320425,0.5074302167813836,0.5073410413126898,0.5072186287140809,-6.204246025579107,-3.026731228013297,2.9056681944320917,0.03043880565852867,0.029591930671039577,0.02995596780500129,283.0008126418481
-1938.6480869618458,-2226.2767293530746,-6445.749158115042,0.47505098008630414,0.5081653784124915,0.508057640221789,0.5079093902599147,-6.204030096817285,-3.0264832400304056,2.906388155520124,0.03048235351673048,0.02955084800031619,0.029951501200825476,283.00089388878393
-1939.268479172207,-2226.5793652762704,-6445.458483302778,0.47276359326131967,0.5088990745254971,0.5087710527264215,0.5085944678635296,-6.203814098877169,-3.0262352182569567,2.907108084364868,0.030525840584764975,0.029509715628530105,0.02994702318983212,283.0009751325841
-1939.8888497793153,-2226.8819763955994,-6445.167736499244,0.47047307115136805,0.5096312960317726,0.5094812779941046,0.5092738544239921,-6.203598031761099,-3.025987162695665,2.9078279809583414,0.030569266789051888,0.029468533664212624,0.029942533801665897,283.0010563732486
-1940.5091987762532,-2227.184562707683,-6444.876917707662,0.46817943239284565,0.5103620338479108,0.5101883152159074,0.5099475428983758,-6.2033818954714155,-3.0257390733492464,2.908547845292562,0.030612632056284002,0.02942730221597242,0.029938033066040613,283.0011376107777
-1941.1295261561038,-2227.487124209143,-6444.586026931261,0.4658826956452512,0.5110912788958267,0.5108921636064316,0.5106155263018172,-6.203165690010461,-3.0254909502204166,2.9092676773595487,0.030655936313427244,0.02938602139249469,0.029933521012738887,283.0012188451714
-1941.7498319119497,-2227.789660896601,-6444.295064173266,0.4635828795910086,0.5118190221028602,0.5115928224037921,0.5112777977075698,-6.202949415380577,-3.0252427933118917,2.90998747715132,0.03069917948772075,0.029344691302540287,0.02992899767161185,283.0013000764299
-1942.3701160368744,-2228.0921727666796,-6444.004029436906,0.46128000293528953,0.5125452544018777,0.5122902908695964,0.5119343502470584,-6.202733071584109,-3.0249946026263888,2.910707244659895,0.030742361506676964,0.02930331205494485,0.02992446307257882,283.00138130455326
-1942.9903785239612,-2228.3946598160005,-6443.712922725411,0.45897408440583687,0.5132699667313753,0.5129845682889256,0.5125851771099331,-6.202516658623399,-3.0247463781666246,2.911426979877293,0.03078548229808171,0.02926188375861794,0.029919917245627023,283.00146252954164
-1943.6106193662938,-2228.697122041187,-6443.421744042008,0.4566651427527858,0.5139931500355792,0.5136756539703126,0.5132302715441207,-6.202300176500792,-3.0244981199353167,2.9121466827955342,0.03082854178999427,0.029220406522542198,0.02991536022081126,283.00154375139516
-1944.230838556956,-2228.999559438862,-6443.130493389928,0.4543531967484877,0.5147147952645496,0.5143635472457235,0.5138696268558779,-6.202083625218634,-3.0242498279351824,2.9128663534066384,0.030871539910747436,0.02917888045577245,0.029910792028253606,283.00162497011394
-1944.8510360890323,-2229.3019720056486,-6442.839170772403,0.4520382651873311,0.5154348933742811,0.5150482474705357,0.5145032364098417,-6.201867004779271,-3.0240015021689404,2.913585991702626,0.030914476588947606,0.029137305667434867,0.029906212698143104,283.001706185698
