0,0,0.852847,513.17
0.000170569,0.0340456,0.864832,364.844
0.000683144,0.068367,0.875252,184.583
0.00153983,0.102833,0.88408,152.42
0.00274141,0.137313,0.891293,136.363
0.00428736,0.171674,0.89687,129.196
0.00617583,0.205783,0.900792,125.317
0.00840365,0.23951,0.903046,123.278
0.0109663,0.272723,0.903618,121.812
0.0138581,0.305292,0.902501,120.848
0.0170718,0.337089,0.899689,120.092
0.0205991,0.367985,0.895179,119.522
0.0244305,0.397858,0.888973,119.061
0.0285549,0.426584,0.881074,118.691
0.0329604,0.454045,0.871489,118.385
0.0376338,0.480124,0.860229,118.132
0.0425605,0.50471,0.847308,117.919
0.0477253,0.527694,0.832742,117.738
0.0531114,0.548972,0.816551,117.585
0.0587014,0.568445,0.798759,117.453
0.0644766,0.586018,0.779393,117.339
0.0704178,0.601602,0.758481,117.241
0.0765044,0.615113,0.736056,117.155
0.0827155,0.626474,0.712155,117.08
0.0890291,0.635612,0.686815,117.015
0.0954226,0.642462,0.660078,116.957
0.101873,0.646964,0.631989,116.906
0.108356,0.649066,0.602594,116.86
0.114848,0.648722,0.571944,116.82
0.121325,0.645893,0.54009,116.784
0.12776,0.640549,0.507087,116.752
0.134129,0.632663,0.472993,116.724
0.140406,0.622219,0.437867,116.698
0.146566,0.609209,0.40177,116.675
0.152583,0.593628,0.364766,116.655
0.158432,0.575483,0.326921,116.636
0.164086,0.554787,0.288301,116.619
0.16952,0.531559,0.248976,116.604
0.174709,0.505828,0.209017,116.59
0.179628,0.477628,0.168494,116.578
0.184254,0.447003,0.127481,116.567
0.18856,0.414002,0.086053,116.556
0.192526,0.378683,0.0442848,116.547
0.196126,0.341109,0.00225273,116.539
0.19934,0.301352,-0.039966,116.531
0.202145,0.259489,-0.0822937,116.524
0.204521,0.215606,-0.124652,116.517
0.206449,0.169794,-0.166962,116.512
0.207909,0.122151,-0.209145,116.506
0.208883,0.0727793,-0.251121,116.501
0.209356,0.0217899,-0.292812,116.497
0.209311,-0.0307017,-0.334137,116.493
0.208734,-0.0845746,-0.375018,116.489
0.207612,-0.139702,-0.415376,116.485
0.205932,-0.195953,-0.455132,116.482
0.203685,-0.25319,-0.494208,116.479
0.200861,-0.311272,-0.532527,116.477
0.197452,-0.370055,-0.570013,116.474
0.193453,-0.429389,-0.606588,116.472
0.188857,-0.48912,-0.64218,116.47
0.183663,-0.549092,-0.676714,116.468
0.177869,-0.609145,-0.710117,116.466
0.171474,-0.669118,-0.74232,116.465
0.16448,-0.728845,-0.773253,116.463
0.156891,-0.78816,-0.802847,116.462
0.148712,-0.846894,-0.831039,116.46
0.139948,-0.904878,-0.857763,116.459
0.130609,-0.961941,-0.882959,116.458
0.120704,-1.01791,-0.906567,116.457
0.110246,-1.07263,-0.928532,116.456
0.0992477,-1.12591,-0.948799,116.455
0.0877241,-1.17759,-0.967318,116.455
0.0756923,-1.22751,-0.98404,116.454
0.0631708,-1.2755,-0.998922,116.453
0.0501796,-1.3214,-1.01192,116.453
0.0367405,-1.36504,-1.023,116.452
0.0228767,-1.40629,-1.03213,116.451
0.00861305,-1.44498,-1.03927,116.451
-0.00602412,-1.48096,-1.04441,116.45
-0.0210071,-1.51411,-1.04751,116.45
-0.0363069,-1.54429,-1.04857,116.45
-0.051893,-1.57136,-1.04756,116.449
-0.0677338,-1.59521,-1.04448,116.449
-0.0837965,-1.61572,-1.03932,116.449
-0.100047,-1.6328,-1.03209,116.448
-0.116451,-1.64633,-1.02278,116.448
-0.132972,-1.65623,-1.01141,116.448
-0.149573,-1.66243,-0.997991,116.448
-0.166218,-1.66484,-0.982537,116.447
-0.182867,-1.66341,-0.965071,116.447
-0.199482,-1.65808,-0.945621,116.447
-0.216025,-1.64882,-0.924215,116.447
-0.232455,-1.63558,-0.900888,116.447
-0.248732,-1.61835,-0.875679,116.446
-0.264817,-1.59711,-0.848629,116.446
-0.280669,-1.57185,-0.819783,116.446
-0.296248,-1.54258,-0.789191,116.446
-0.311514,-1.50932,-0.756905,116.446
-0.326428,-1.47209,-0.722979,116.446
-0.34095,-1.43092,-0.687473,116.446
-0.35504,-1.38585,-0.650446,116.446
-0.368659,-1.33695,-0.611962,116.446
-0.381771,-1.28425,-0.572086,116.446
-0.394337,-1.22785,-0.530887,116.445
-0.40632,-1.1678,-0.488432,116.445
-0.417685,-1.10419,-0.444795,116.445
-0.428395,-1.03713,-0.400049,116.445
-0.438418,-0.96669,-0.354266,116.445
-0.44772,-0.892993,-0.307524,116.445
-0.456269,-0.816149,-0.2599,116.445
-0.464034,-0.736275,-0.211472,116.445
-0.470986,-0.653496,-0.16232,116.445
-0.477095,-0.567946,-0.112524,116.445
-0.482335,-0.479761,-0.0621661,116.445
-0.48668,-0.389086,-0.0113281,116.445
-0.490107,-0.29607,0.0399062,116.445
-0.492592,-0.200868,0.0914526,0
-0.494114,-0.103642,0.143226,0
-0.494655,-0.00455922,0.19514,0
-0.494196,0.0962082,0.247107,0
-0.492721,0.198482,0.299041,0
-0.490216,0.302077,0.350851,0
-0.486669,0.406805,0.402448,0
-0.48207,0.51247,0.453741,0
-0.47641,0.618871,0.504639,0
-0.469683,0.725802,0.555049,0
-0.461884,0.83305,0.604877,0
-0.453012,0.940397,0.65403,0
-0.443067,1.04762,0.702412,0
-0.432051,1.1545,0.749927,0
-0.419968,1.26079,0.79648,0
-0.406826,1.36625,0.841973,0
-0.392634,1.47066,0.886311,0
-0.377405,1.57376,0.929396,0
-0.361151,1.67529,0.971132,0
-0.343891,1.77502,1.01142,0
